Account No.,DATE,Transaction Details,CHQ.NO.,Value Date,Withdrawal Amount,Deposit Amount,Balance Amount,.
409000611074',29-Jun-17,TRF FROM  Indiaforensic SERVICES,,29-Jun-17,,"1,000,000.00","1,000,000.00",.
409000611074',30-Jun-17,TRF FROM  Indiaforensic SERVICES,,30-Jun-17,,"1,000,000.00","2,000,000.00",.
409000611074',1-Jul-17,TRF FROM  Indiaforensic SERVICES,,1-Jul-17,,"1,000,000.00","3,000,000.00",.
409000611074',2-Jul-17,TRF FROM  Indiaforensic SERVICES,,2-Jul-17,,"1,000,000.00","4,000,000.00",.
409000611074',3-Jul-17,TRF FROM  Indiaforensic SERVICES,,3-Jul-17,,"1,000,000.00","5,000,000.00",.
409000611074',4-Jul-17,TRF FROM  Indiaforensic SERVICES,,4-Jul-17,,"1,000,000.00","6,000,000.00",.
409000611074',5-Jul-17,TRF FROM  Indiaforensic SERVICES,,5-Jul-17,,"1,000,000.00","7,000,000.00",.
409000611074',6-Jul-17,TRF FROM  Indiaforensic SERVICES,,6-Jul-17,,"1,000,000.00","8,000,000.00",.
409000611074',7-Jul-17,TRF FROM  Indiaforensic SERVICES,,7-Jul-17,,"1,000,000.00","9,000,000.00",.
409000611074',8-Jul-17,TRF FROM  Indiaforensic SERVICES,,8-Jul-17,,"1,000,000.00","10,000,000.00",.
409000611074',9-Jul-17,TRF FROM  Indiaforensic SERVICES,,9-Jul-17,,"1,000,000.00","11,000,000.00",.
409000611074',10-Jul-17,TRF FROM  Indiaforensic SERVICES,,10-Jul-17,,"1,000,000.00","12,000,000.00",.
409000611074',11-Jul-17,TRF FROM  Indiaforensic SERVICES,,11-Jul-17,,"1,000,000.00","13,000,000.00",.
409000611074',12-Jul-17,TRF FROM  Indiaforensic SERVICES,,12-Jul-17,,"1,000,000.00","14,000,000.00",.
409000611074',13-Jul-17,TRF FROM  Indiaforensic SERVICES,,13-Jul-17,,"1,000,000.00","15,000,000.00",.
409000611074',14-Jul-17,TRF FROM  Indiaforensic SERVICES,,14-Jul-17,,"1,000,000.00","16,000,000.00",.
409000611074',15-Jul-17,TRF FROM  Indiaforensic SERVICES,,15-Jul-17,,"1,000,000.00","17,000,000.00",.
409000611074',16-Jul-17,TRF FROM  Indiaforensic SERVICES,,16-Jul-17,,"1,000,000.00","18,000,000.00",.
409000611074',17-Jul-17,TRF FROM  Indiaforensic SERVICES,,17-Jul-17,,"1,000,000.00","19,000,000.00",.
409000611074',18-Jul-17,TRF FROM  Indiaforensic SERVICES,,18-Jul-17,,"1,000,000.00","20,000,000.00",.
409000611074',19-Jul-17,TRF FROM  Indiaforensic SERVICES,,19-Jul-17,,"1,000,000.00","21,000,000.00",.
409000611074',20-Jul-17,TRF FROM  Indiaforensic SERVICES,,20-Jul-17,,"1,000,000.00","22,000,000.00",.
409000611074',21-Jul-17,TRF FROM  Indiaforensic SERVICES,,21-Jul-17,,"1,000,000.00","23,000,000.00",.
409000611074',22-Jul-17,TRF FROM  Indiaforensic SERVICES,,22-Jul-17,,"1,000,000.00","24,000,000.00",.
409000611074',23-Jul-17,TRF FROM  Indiaforensic SERVICES,,23-Jul-17,,"1,000,000.00","25,000,000.00",.
409000611074',24-Jul-17,TRF FROM  Indiaforensic SERVICES,,24-Jul-17,,"1,000,000.00","26,000,000.00",.
409000611074',25-Jul-17,This is Fraud.Inc,,25-Jul-17,"24,000,000",,"3,000,000.00",.
409000611074',26-Jul-17,TRF FROM  Indiaforensic SERVICES,,26-Jul-17,,"1,000,000.00","4,000,000.00",.
409000611074',27-Jul-17,TRF FROM  Indiaforensic SERVICES,,27-Jul-17,,"1,000,000.00","5,000,000.00",.
409000611074',28-Jul-17,TRF FROM  Indiaforensic SERVICES,,28-Jul-17,,"1,000,000.00","6,000,000.00",.
409000611074',29-Jul-17,TRF FROM  Indiaforensic SERVICES,,29-Jul-17,,"1,000,000.00","7,000,000.00",.
409000611074',30-Jul-17,TRF FROM  Indiaforensic SERVICES,,30-Jul-17,,"1,000,000.00","8,000,000.00",.
409000611074',31-Jul-17,TRF FROM  Indiaforensic SERVICES,,31-Jul-17,,"1,000,000.00","9,000,000.00",.
409000611074',1-Aug-17,TRF FROM  Indiaforensic SERVICES,,1-Aug-17,,"1,000,000.00","10,000,000.00",.
409000611074',2-Aug-17,TRF FROM  Indiaforensic SERVICES,,2-Aug-17,,"1,000,000.00","11,000,000.00",.
409000611074',3-Aug-17,TRF FROM  Indiaforensic SERVICES,,3-Aug-17,,"1,000,000.00","12,000,000.00",.
409000611074',4-Aug-17,TRF FROM  Indiaforensic SERVICES,,4-Aug-17,,"1,000,000.00","13,000,000.00",.
409000611074',5-Aug-17,TRF FROM  Indiaforensic SERVICES,,5-Aug-17,,"1,000,000.00","14,000,000.00",.
409000611074',6-Aug-17,TRF FROM  Indiaforensic SERVICES,,6-Aug-17,,"1,000,000.00","15,000,000.00",.
409000611074',7-Aug-17,TRF FROM  Indiaforensic SERVICES,,7-Aug-17,,"1,000,000.00","16,000,000.00",.
409000611074',8-Aug-17,TRF FROM  Indiaforensic SERVICES,,8-Aug-17,,"1,000,000.00","17,000,000.00",.
409000611074',9-Aug-17,TRF FROM  Indiaforensic SERVICES,,9-Aug-17,,"1,000,000.00","18,000,000.00",.
409000611074',10-Aug-17,TRF FROM  Indiaforensic SERVICES,,10-Aug-17,,"1,000,000.00","19,000,000.00",.
409000611074',11-Aug-17,TRF FROM  Indiaforensic SERVICES,,11-Aug-17,,"1,000,000.00","20,000,000.00",.
409000611074',12-Aug-17,TRF FROM  Indiaforensic SERVICES,,12-Aug-17,,"1,000,000.00","21,000,000.00",.
409000611074',13-Aug-17,TRF FROM  Indiaforensic SERVICES,,13-Aug-17,,"1,000,000.00","22,000,000.00",.
409000611074',14-Aug-17,TRF FROM  Indiaforensic SERVICES,,14-Aug-17,,"1,000,000.00","23,000,000.00",.
409000611074',15-Aug-17,TRF FROM  Indiaforensic SERVICES,,15-Aug-17,,"1,000,000.00","24,000,000.00",.
409000611074',16-Aug-17,TRF FROM  Indiaforensic SERVICES,,16-Aug-17,,"1,000,000.00","25,000,000.00",.
409000611074',17-Aug-17,TRF FROM  Indiaforensic SERVICES,,17-Aug-17,,"1,000,000.00","26,000,000.00",.
409000611074',18-Aug-17,TRF FROM  Indiaforensic SERVICES,,18-Aug-17,,"1,000,000.00","27,000,000.00",.
409000611074',19-Aug-17,TRF FROM  Indiaforensic SERVICES,,19-Aug-17,,"1,000,000.00","28,000,000.00",.
409000611074',20-Aug-17,TRF FROM  Indiaforensic SERVICES,,20-Aug-17,,"1,000,000.00","29,000,000.00",.
409000611074',21-Aug-17,TRF FROM  Indiaforensic SERVICES,,21-Aug-17,,"1,000,000.00","30,000,000.00",.
409000611074',22-Aug-17,TRF FROM  Indiaforensic SERVICES,,22-Aug-17,,"1,000,000.00","31,000,000.00",.
409000611074',23-Aug-17,TRF FROM  Indiaforensic SERVICES,,23-Aug-17,,"1,000,000.00","32,000,000.00",.
409000611074',24-Aug-17,TRF FROM  Indiaforensic SERVICES,,24-Aug-17,,"1,000,000.00","33,000,000.00",.
409000611074',25-Aug-17,TRF FROM  Indiaforensic SERVICES,,25-Aug-17,,"1,000,000.00","34,000,000.00",.
409000611074',26-Aug-17,TRF FROM  Indiaforensic SERVICES,,26-Aug-17,,"1,000,000.00","35,000,000.00",.
409000611074',27-Aug-17,TRF FROM  Indiaforensic SERVICES,,27-Aug-17,,"1,000,000.00","36,000,000.00",.
409000611074',28-Aug-17,TRF FROM  Indiaforensic SERVICES,,28-Aug-17,,"1,000,000.00","37,000,000.00",.
409000611074',29-Aug-17,TRF FROM  Indiaforensic SERVICES,,29-Aug-17,,"1,000,000.00","38,000,000.00",.
409000611074',30-Aug-17,TRF FROM  Indiaforensic SERVICES,,30-Aug-17,,"1,000,000.00","39,000,000.00",.
409000611074',31-Aug-17,TRF FROM  Indiaforensic SERVICES,,31-Aug-17,,"1,000,000.00","40,000,000.00",.
409000611074',1-Sep-17,TRF FROM  Indiaforensic SERVICES,,1-Sep-17,,"1,000,000.00","41,000,000.00",.
409000611074',2-Sep-17,TRF FROM  Indiaforensic SERVICES,,2-Sep-17,,"1,000,000.00","42,000,000.00",.
409000611074',3-Sep-17,TRF FROM  Indiaforensic SERVICES,,3-Sep-17,,"1,000,000.00","43,000,000.00",.
409000611074',4-Sep-17,TRF FROM  Indiaforensic SERVICES,,4-Sep-17,,"1,000,000.00","44,000,000.00",.
409000611074',5-Sep-17,TRF FROM  Indiaforensic SERVICES,,5-Sep-17,,"1,000,000.00","45,000,000.00",.
409000611074',6-Sep-17,TRF FROM  Indiaforensic SERVICES,,6-Sep-17,,"1,000,000.00","46,000,000.00",.
409000611074',7-Sep-17,TRF FROM  Indiaforensic SERVICES,,7-Sep-17,,"1,000,000.00","47,000,000.00",.
409000611074',8-Sep-17,TRF FROM  Indiaforensic SERVICES,,8-Sep-17,,"1,000,000.00","48,000,000.00",.
